ID,name,Applied,gender,age,background in IT,education,accepted,attended,number of Hackathons,employment,satisfaction,career interests,country,new skill
59,Michael Herring,Yes,F,25,Yes,Undergraduate,Yes,No,0,Manager,satisfied,pm,Comoros,Software Development
45,Matthew Armstrong,Yes,M,54,Yes,PhD,Yes,No,9,Junior,satisfied,javascript,Russian Federation,Data Scientist
898,Jennifer Walker,Yes,Non-binary,45,Yes,Prefer not to say,No,No,6,Junior,very dissatisfied,javascript,Korea,Software Development
55,Larry Smith,Yes,Non-binary,29,No,PhD,Yes,No,7,Senior Associate,satisfied,sql,Japan,Data Scientist
416,Brenda Jones,Yes,M,45,Yes,PhD,No,No,3,Senior Associate,satisfied,solutions design,Taiwan,Software Development
726,Melissa Jones,Yes,M,59,Yes,Masters degree,No,No,6,Senior Associate,very dissatisfied,solutions design,Swaziland,full stack developer
698,Beth Brown,Yes,Non-binary,53,No,Undergraduate,No,No,9,Junior,satisfied,solutions design,Burundi,UI/UX
322,Jennifer Stevens,Yes,M,28,Yes,Undergraduate,No,Yes,4,Associate,neutral,sql,Tokelau,Software Development
892,Dennis Murray,Yes,F,35,Yes,Prefer not to say,No,No,8,Junior,satisfied,python,Belgium,full stack developer
846,Christine Smith,Yes,F,28,No,Undergraduate,Yes,No,8,Manager,dissatisfied,azure,American Samoa,Software Development
745,Alexander Ruiz,Yes,Non-binary,43,No,Masters degree,Yes,No,6,Junior,dissatisfied,.net,Micronesia,Software Development
276,Tom Richardson,Yes,F,54,No,Masters degree,Yes,No,3,Junior,neutral,.net,Qatar,Data Scientist
290,Melanie Hicks,Yes,F,54,No,Undergraduate,No,Yes,6,Senior Manager,dissatisfied,sql,Moldova,Data Scientist
688,Mary Blair,Yes,M,34,Yes,Prefer not to say,Yes,No,4,Junior,dissatisfied,.net,Sierra Leone,Software Development
206,Martha Campos,Yes,F,46,Yes,PhD,No,Yes,6,Senior Associate,very dissatisfied,python,Lao People's Democratic Republic,UI/UX
361,Joseph Chan,Yes,F,52,Yes,Prefer not to say,Yes,No,5,Manager,satisfied,solutions design,Lithuania,Data Scientist
239,Mr. Jonathan Soto,Yes,M,48,No,Masters degree,Yes,No,2,Manager,neutral,.net,Mongolia,Data Scientist
13,Monica Porter,Yes,M,36,No,Prefer not to say,No,No,0,Senior Manager,very dissatisfied,azure,Sri Lanka,full stack developer
30,Kelly Choi,Yes,M,29,Yes,PhD,Yes,Yes,5,Senior Associate,satisfied,solutions design,Marshall Islands,full stack developer
816,Melissa Gonzalez,Yes,M,45,Yes,Masters degree,Yes,No,0,Senior Manager,satisfied,javascript,Burundi,full stack developer
224,Melissa Fisher DDS,Yes,M,57,Yes,PhD,Yes,Yes,8,Senior Associate,neutral,azure,Finland,Pitch
276,Wesley Stewart,Yes,M,40,No,Masters degree,Yes,Yes,0,Senior Associate,neutral,javascript,Portugal,full stack developer
670,Kathy Fuentes,Yes,M,56,Yes,Undergraduate,No,No,3,Manager,dissatisfied,pm,Canada,Pitch
917,Melissa Rogers,Yes,F,26,No,Masters degree,No,No,3,Junior,dissatisfied,pm,Timor-Leste,Software Development
793,Mr. Brian Anderson,Yes,M,59,Yes,Undergraduate,Yes,Yes,0,Associate,satisfied,javascript,Romania,UI/UX
585,Laura Vega,Yes,F,39,Yes,Masters degree,Yes,No,1,Senior Associate,very dissatisfied,azure,Nigeria,Data Scientist
218,Casey Stephens,Yes,Non-binary,59,No,Undergraduate,Yes,Yes,3,Senior Manager,satisfied,solutions design,Sweden,Data Scientist
835,Cody Clark DDS,Yes,F,41,No,Masters degree,Yes,No,3,Senior Associate,neutral,solutions design,Sudan,Software Development
157,April Thomas,Yes,Non-binary,43,No,Undergraduate,Yes,Yes,6,Manager,neutral,azure,Bulgaria,Pitch
591,Brenda Mueller,Yes,F,57,Yes,PhD,No,No,5,Senior Associate,dissatisfied,sql,Swaziland,Pitch
844,Michelle Taylor,Yes,M,57,No,PhD,Yes,No,1,Associate,dissatisfied,javascript,Cocos (Keeling) Islands,Data Scientist
332,Monica Fox,Yes,Non-binary,57,Yes,Prefer not to say,No,No,9,Senior Associate,dissatisfied,pm,Cote d'Ivoire,Software Development
253,Rachel Escobar,Yes,Non-binary,30,Yes,Undergraduate,No,No,4,Associate,dissatisfied,pm,Romania,Data Scientist
607,Shawn Frazier,Yes,M,40,Yes,Masters degree,Yes,No,0,Senior Associate,satisfied,azure,United States of America,UI/UX
394,Bethany Campbell,Yes,M,59,No,PhD,Yes,No,2,Senior Manager,satisfied,pm,Ethiopia,full stack developer
407,Michael Giles,Yes,Non-binary,58,Yes,Undergraduate,No,No,9,Associate,satisfied,sql,Sudan,full stack developer
203,Mark Fields,Yes,M,46,No,Undergraduate,Yes,Yes,9,Senior Associate,satisfied,azure,Antarctica (the territory South of 60 deg S),Pitch
34,Katherine Rice,Yes,M,33,Yes,Prefer not to say,No,No,6,Senior Associate,satisfied,azure,Nauru,UI/UX
