ID,name,Applied,gender,age,background in IT,education,accepted,attended,number of Hackathons,employment,satisfaction,career interests,country,new skill
127,Samuel Jackson,Yes,F,49,No,Prefer not to say,No,No,0,Senior Associate,neutral,solutions design,Puerto Rico,UI/UX
238,Arthur Harrison,Yes,Non-binary,34,Yes,Masters degree,No,No,1,Manager,neutral,pm,Liberia,UI/UX
317,Gloria Hunt,Yes,Non-binary,56,Yes,Prefer not to say,Yes,Yes,4,Senior Manager,very dissatisfied,javascript,Papua New Guinea,UI/UX
454,Alexander Parker,Yes,M,36,No,Masters degree,Yes,Yes,8,Manager,very dissatisfied,pm,American Samoa,Software Development
138,Jessica Gamble,Yes,Non-binary,47,No,PhD,No,No,5,Junior,neutral,sql,Fiji,full stack developer
168,Paula Howard,Yes,M,25,Yes,Masters degree,Yes,Yes,9,Junior,very dissatisfied,javascript,Tunisia,full stack developer
235,Catherine Harvey,Yes,M,56,Yes,Undergraduate,Yes,Yes,6,Manager,satisfied,pm,El Salvador,Software Development
376,Elijah Jackson,Yes,M,43,No,Prefer not to say,Yes,Yes,4,Junior,dissatisfied,solutions design,Costa Rica,Software Development
492,Vanessa Rice,Yes,F,30,No,Undergraduate,Yes,No,1,Associate,dissatisfied,javascript,Norfolk Island,full stack developer
174,Mary Vasquez,Yes,F,59,Yes,Prefer not to say,No,Yes,4,Senior Manager,dissatisfied,solutions design,Denmark,Data Scientist
211,Ann Ramirez,Yes,M,53,No,Masters degree,No,No,6,Senior Manager,very dissatisfied,.net,Slovenia,Data Scientist
363,Theodore Miller,Yes,Non-binary,41,Yes,Prefer not to say,Yes,No,5,Manager,very dissatisfied,solutions design,Gabon,full stack developer
78,Robert Knox,Yes,Non-binary,54,No,Masters degree,Yes,No,0,Senior Manager,satisfied,azure,Nauru,Pitch
241,Michael Diaz,Yes,Non-binary,45,Yes,PhD,Yes,No,0,Associate,very dissatisfied,python,Barbados,Software Development
412,Charles Moran,Yes,M,25,No,Masters degree,No,Yes,8,Senior Associate,neutral,javascript,United Kingdom,Data Scientist
289,Jason Evans,Yes,Non-binary,36,Yes,Undergraduate,No,No,1,Manager,neutral,python,Brunei Darussalam,Software Development
472,Aaron James,Yes,Non-binary,50,Yes,Undergraduate,No,Yes,3,Manager,neutral,python,Iceland,UI/UX
86,Maria Carter,Yes,Non-binary,41,No,PhD,Yes,No,5,Manager,neutral,pm,Namibia,Pitch
272,Alexis Simmons,Yes,Non-binary,34,No,Masters degree,No,No,8,Senior Manager,dissatisfied,azure,Iceland,Pitch
459,Andrea Love,Yes,Non-binary,29,No,Masters degree,No,Yes,3,Senior Manager,dissatisfied,javascript,North Macedonia,Software Development
300,Margaret Wang,Yes,M,27,Yes,Prefer not to say,No,No,2,Junior,dissatisfied,azure,Croatia,Pitch
168,Breanna Robinson,Yes,Non-binary,39,Yes,Undergraduate,No,No,8,Senior Manager,satisfied,javascript,Costa Rica,Data Scientist
307,Daniel Kane,Yes,M,39,Yes,Masters degree,No,No,4,Associate,satisfied,azure,Congo,Software Development
428,Jill Trevino,Yes,M,29,Yes,PhD,No,No,7,Senior Associate,dissatisfied,python,French Southern Territories,full stack developer
353,Christina Jenkins,Yes,F,59,No,Undergraduate,No,No,0,Junior,very dissatisfied,javascript,Iran,Data Scientist
260,Karen May,Yes,F,40,Yes,Masters degree,Yes,No,7,Senior Associate,very dissatisfied,python,South Africa,Pitch
283,Julie Nelson,Yes,F,55,No,Prefer not to say,No,No,0,Senior Associate,neutral,sql,South Georgia and the South Sandwich Islands,Software Development
